




Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,
4,"Abalos Colles","Abalos Colles","Mars",235.83,76.83,-71.65,78.78,74.81,-66.61,-75.46,"Europe","Roman","Collis, colles",CO,"mc01","Approved","2003","57","Named for classical albedo feature at 72N, 70W.",
14147,"Abalos Mensa","Abalos Mensa","Mars",129.18,81.17,-75.6,82.4,80.21,-69.48,-80.66,"Europe","Roman","Mensa, mensae",MN,"mc01","Approved","2006","57","Classical albedo feature name.",
14148,"Abalos Scopuli","Abalos Scopuli","Mars",109.16,80.72,-76.56,81.96,80.2,-69.48,-80.53,"Europe","Roman","Scopulus, scopuli",SC,"mc01","Approved","2006","57","Classical albedo feature name.",
5,"Abalos Undae","Abalos Undae","Mars",442.74,78.52,-87.5,82.2,74.94,-76.97,-98.6,"Europe","Roman","Unda, undae",UN,"mc01","Approved","1988","57","Classical albedo feature at 72N, 70W.",
6,"Aban","Aban","Mars",4.28,15.91,111.1,15.94,15.87,111.14,111.06,"Europe","Russia","Crater, craters",AA,"mc14","Approved","1988","36","Town in Russia.",
25,"Abus Vallis","Abus Vallis","Mars",60.99,-5.49,-147.2,-5.02,-5.99,-147.16,-147.28,"Europe","Great Britain","Vallis, valles",VA,"mc16","Approved","1985","56","Classical name for Humber River in England.",
31,"Achar","Achar","Mars",5.36,45.43,123.16,45.48,45.39,123.23,123.1,"South and Central America","Uruguay","Crater, craters",AA,"mc07","Approved","1979","36","Town in Uruguay.",
34,"Acheron Catena","Acheron Catena","Mars",421.77,37.47,-100.8,40.7,33.51,-98.29,-103.29,"Europe","Greek","Catena, catenae",CA,"mc03","Approved","1979","57","Named for classical albedo feature at 35N, 140W.",
35,"Acheron Fossae","Acheron Fossae","Mars",703.11,38.27,-135.02,40.03,31.47,-129.08,-143.1,"Europe","Greek","Fossa, fossae",FO,"mc02","Approved","1979","57","From classical albedo feature at 35N, 140W.",
36,"Acidalia Colles","Acidalia Colles","Mars",356.3,50.34,-23.09,52.96,48.42,-19.63,-28.23,"Europe","Greek","Collis, colles",CO,"mc04","Approved","2000","71","From classical albedo feature name.",
37,"Acidalia Mensa","Acidalia Mensa","Mars",226.86,46.69,-25.34,48.69,45.03,-22.97,-28.19,"Europe","Greek","Mensa, mensae",MN,"mc04","Approved","2000","71","From classical albedo feature name.",
38,"Acidalia Planitia","Acidalia Planitia","Mars",3362.97,49.76,-20.74,68.67,14.76,15,-55,"Europe","Greek","Planitia, planitiae",PL,"mc04","Approved","1973","57","From classical albedo feature at 44N, 21W.",
14182,"Ada","Ada","Mars",2.09,-3.06,-3.22,-3.04,-3.08,-3.21,-3.24,"North America","United States","Crater, craters",AA,"mc19","Approved","Sep 14, 2006","74","Town in Oklahoma, USA.",
45,"Adamas Labyrinthus","Adamas Labyrinthus","Mars",853,35.7,105.12,41.07,30.34,111.46,96.27,"Europe","Greek","Labyrinthus, labyrinthi",LB,"mc06","Approved","1982","57","Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India.",
46,"Adams","Adams","Mars",90.22,30.91,163.1,31.68,30.15,163.99,162.22,"North America","American","Crater, craters",AA,"mc07","Approved","1973","68","Walter S.; American astronomer (1876-1956).",
65,"Aeolis","Aeolis","Mars",0,-4.94,145,-4.94,-4.94,145,145,"Europe","Greek","Albedo Feature",AL,"mc23","Approved","1958","60","Floating island where winds were kept in a cave.",
15019,"Aeolis Dorsa","Aeolis Dorsa","Mars",459.17,-5.05,152.63,-1.03,-8.13,156.42,148.6,"Europe","Greek","Dorsum, dorsa",DO,"mc23","Approved","Jul 27, 2012","71","Classical albedo feature name.",
66,"Aeolis Mensae","Aeolis Mensae","Mars",785.09,-3.25,140.63,2.07,-6.56,146.95,135.33,"Europe","Greek","Mensa, mensae",MN,"mc23","Approved","1976","57","Classical albedo feature name.",
15000,"Aeolis Mons","Aeolis Mons","Mars",88.99,-5.08,137.85,-4.46,-5.61,138.62,137.11,"Europe","Greek","Mons, montes",MO,"mc23","Approved","May 16, 2012","71","Classical albedo feature name.",
15001,"Aeolis Palus","Aeolis Palus","Mars",111.63,-4.47,137.42,-4.18,-5.39,138.65,136.75,"Europe","Greek","Palus, paludes",PA,"mc23","Approved","May 16, 2012","71","Classical albedo feature name.",
14165,"Aeolis Planum","Aeolis Planum","Mars",852.81,-1.14,144.76,4.4,-6.68,149.98,139.08,"Europe","Greek","Planum, plana",PM,"mc23","Approved","2006","71","Classical albedo feature name.",
15031,"Aeolis Serpens","Aeolis Serpens","Mars",538.55,-1.38,149.57,2.48,-4.9,152,147.68,"Europe","Greek","Serpens, serpentes",SE,"mc23","Approved","Aug 27, 2012","57","Classical albedo feature name.",
68,"Aeria","Aeria","Mars",0,9.88,50,9.88,9.88,50,50,"Europe","Greek","Albedo Feature",AL,"mc13","Approved","1958","60","Greek name for Egypt; ""far land of mist"".",
69,"Aesacus Dorsum","Aesacus Dorsum","Mars",276.69,36.82,153.15,38.69,34.7,154.72,152.28,"Europe","Greek","Dorsum, dorsa",DO,"mc07","Approved","1985","57","From albedo feature at 45N, 205W.",
71,"Aetheria","Aetheria","Mars",0,39.67,130,39.67,39.67,130,130,"Europe","Greek","Albedo Feature",AL,"mc07","Approved","1958","60","Upper world; land of living.",
